DATE, ID, HOUR, POWER, PRESSURE
2015-02-27, ID773937, 22, -38.685, 13.14
2015-02-27, ID773937, 23, -41.563, 13.063
2015-02-27, ID773937, 24, -52.41, 12.979
2015-02-27, ID773942, 1, -10.248, 13.033
2015-02-27, ID773942, 2, -9.487, 13.124
2015-02-27, ID773942, 3, -9.022, 13.18
2015-02-27, ID773942, 4, -9.061, 13.178
2015-02-27, ID773942, 5, -8.822, 13.179
2015-02-27, ID773942, 6, -7.953, 13.189
2015-02-27, ID773942, 7, -7.434, 13.199
2015-02-27, ID773942, 8, -7.69, 13.203
2015-02-27, ID773942, 9, -7.649, 13.211
2015-02-27, ID773942, 10, -7.553, 13.175
2015-02-27, ID773942, 11, -7.647, 13.103
2015-02-27, ID773942, 12, -7.833, 13.072
2015-02-27, ID773942, 13, -8.318, 13.056
2015-02-27, ID773942, 14, -8.042, 13.09
2015-02-27, ID773942, 15, -8.366, 13.134
2015-02-27, ID773942, 16, -7.792, 13.194
2015-02-27, ID773942, 17, -6.228, 13.234
2015-02-27, ID773942, 18, -5.201, 13.259
2015-02-27, ID773942, 19, -5.047, 13.265
2015-02-27, ID773942, 20, -5.009, 13.26
2015-02-27, ID773942, 21, -5.092, 13.265
2015-02-27, ID773942, 22, -6.172, 13.261
2015-02-27, ID773942, 23, -7.1, 13.185
2015-02-27, ID773942, 24, -7.51, 13.101
2015-02-27, ID773947, 1, -11.422, 13.002
2015-02-27, ID773947, 2, -11.467, 13.082
2015-02-27, ID773947, 3, -11.196, 13.117
2015-02-27, ID773947, 4, -9.972, 13.118
2015-02-27, ID773947, 5, -9.496, 13.122
2015-02-27, ID773947, 6, -8.511, 13.136
2015-02-27, ID773947, 7, -9.13, 13.148
2015-02-27, ID773947, 8, -8.741, 13.159
2015-02-27, ID773947, 9, -8.5, 13.163
2015-02-27, ID773947, 10, -8.245, 13.121
2015-02-27, ID773947, 11, -7.895, 13.052
2015-02-27, ID773947, 12, -8.342, 13.023
2015-02-27, ID773947, 13, -8.693, 13.011
2015-02-27, ID773947, 14, -8.029, 13.046
2015-02-27, ID773947, 15, -7.451, 13.091
2015-02-27, ID773947, 16, -6.532, 13.157
2015-02-27, ID773947, 17, -3.163, 13.198
2015-02-27, ID773947, 18, -1.494, 13.232
2015-02-27, ID773947, 19, -0.669, 13.246
2015-02-27, ID773947, 20, -1.102, 13.249
2015-02-27, ID773947, 21, -1.462, 13.257
2015-02-27, ID773947, 22, -2.327, 13.249
2015-02-27, ID773947, 23, -3.665, 13.168
2015-02-27, ID773947, 24, -6.795, 13.082
2015-02-27, ID773954, 1, -15.395, 7.766
2015-02-27, ID773954, 2, -14.372, 7.763
2015-02-27, ID773954, 3, -13.893, 7.746
2015-02-27, ID773954, 4, -13.519, 7.729
2015-02-27, ID773954, 5, -13.282, 7.739
2015-02-27, ID773954, 6, -12.637, 7.747
2015-02-27, ID773954, 7, -11.769, 7.747
2015-02-27, ID773954, 8, -11.776, 7.779
2015-02-27, ID773954, 9, -12.027, 7.783
2015-02-27, ID773954, 10, -11.684, 7.793
2015-02-27, ID773954, 11, -12.142, 7.803
2015-02-27, ID773954, 12, -12.288, 7.796
2015-02-27, ID773954, 13, -12.496, 7.795
2015-02-27, ID773954, 14, -12.06, 7.793
2015-02-27, ID773954, 15, -11.939, 7.798
2015-02-27, ID773954, 16, -11.317, 7.797
2015-02-27, ID773954, 17, -8.951, 7.811
2015-02-27, ID773954, 18, -7.038, 7.842
2015-02-27, ID773954, 19, -6.717, 7.874
2015-02-27, ID773954, 20, -7.112, 7.878
2015-02-27, ID773954, 21, -7.289, 7.878
2015-02-27, ID773954, 22, -7.948, 7.865
2015-02-27, ID773954, 23, -9.606, 7.85
2015-02-27, ID773954, 24, -11.742, 7.839
2015-02-27, ID773958, 1, -12.985, 7.761
2015-02-27, ID773958, 2, -13.53, 7.758
2015-02-27, ID773958, 3, -19.165, 7.741
2015-02-27, ID773958, 4, -31.751, 7.724
2015-02-27, ID773958, 5, -26.151, 7.734
2015-02-27, ID773958, 6, -33.928, 7.742
2015-02-27, ID773958, 7, -33.28, 7.741
2015-02-27, ID773958, 8, -30.978, 7.774
2015-02-27, ID773958, 9, -32.054, 7.778
2015-02-27, ID773958, 10, -32.721, 7.787
2015-02-27, ID773958, 11, -30.783, 7.797
2015-02-27, ID773958, 12, -30.682, 7.79
2015-02-27, ID773958, 13, -31.165, 7.79
2015-02-27, ID773958, 14, -27.79, 7.787
2015-02-27, ID773958, 15, -26.352, 7.792
2015-02-27, ID773958, 16, -27.3, 7.791
2015-02-27, ID773958, 17, -28.877, 7.806
2015-02-27, ID773958, 18, -26.776, 7.836
2015-02-27, ID773958, 19, -25.421, 7.868
2015-02-27, ID773958, 20, -25.518, 7.872
2015-02-27, ID773958, 21, -26.241, 7.872
2015-02-27, ID773958, 22, -26.578, 7.859
2015-02-27, ID773958, 23, -27.112, 7.845
2015-02-27, ID773958, 24, -27.474, 7.833
2015-02-27, ID773962, 1, -3.955, 7.848
2015-02-27, ID773962, 2, -3.654, 7.852
2015-02-27, ID773962, 3, -3.56, 7.851
2015-02-27, ID773962, 4, -3.498, 7.844
2015-02-27, ID773962, 5, -3.652, 7.851
2015-02-27, ID773962, 6, -3.325, 7.855
2015-02-27, ID773962, 7, -2.79, 7.855
2015-02-27, ID773962, 8, -1.009, 7.873
2015-02-27, ID773962, 9, -0.71, 7.872
2015-02-27, ID773962, 10, -0.751, 7.876
2015-02-27, ID773962, 11, -0.73, 7.88
2015-02-27, ID773962, 12, -0.74, 7.876
2015-02-27, ID773962, 13, -0.73, 7.879
2015-02-27, ID773962, 14, -0.113, 7.881
2015-02-27, ID773962, 15, -0.093, 7.884
